score_2025,rank_2025,level,source_college,source_major_2025,match_status,match_count,official_college_code,official_college_name,official_major_code,official_major_name_2026,plan_num_2026,major_attr_2026,major_remark_2026,first_subject,reselect_subject,tuition,plan_id
684,231,985,哈尔滨工业大学,工科试验班(尖班)(自动化、人工智能、复合材料与工程、工程力学、材料科学与工程、机械设计制造及其自动化、机器人工程、飞行器制造工程、环境工程、精密仪器、测控技术与仪器、智能材料与结构、智能装备与系统、土木工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
684,231,985,浙江大学,工科试验班(EE类)[电气工程及其自动化(爱迪生班)、电子信息工程(爱迪生班)、电子科学与技术(香农班)、信息工程(香农班)],exact_school_major,1,0335,浙江大学,5H,工科试验班(EE类)[电气工程及其自动化(爱迪生班)、电子信息工程(爱迪生班)、电子科学与技术(香农班)、信息工程(香农班)],6,,,物理,化学,6000,1_3_0335_5_5H
683,262,985,上海交通大学,工科试验班类(信息类)[计算机科学与技术(计算机学院)、信息安全(计算机学院)、软件工程(计算机学院)、微电子科学与工程(集成电路学院)、信息工程(集成电路学院)、电子科学与技术(集成电路学院)、自动化(自动化与感知学院)、智能感知工程(自动化与感知学院)、电气工程及其自动化(电气工程学院)],exact_school_major,1,0248,上海交通大学,GA,工科试验班类(信息类)[计算机科学与技术(计算机学院)、信息安全(计算机学院)、软件工程(计算机学院)、微电子科学与工程(集成电路学院)、信息工程(集成电路学院)、电子科学与技术(集成电路学院)、自动化(自动化与感知学院)、智能感知工程(自动化与感知学院)、电气工程及其自动化(电气工程学院)],24,,(8月可自愿申请参加浦江国际学院、巴黎卓越工程师学院、健康科学与技术等专业提前分流选拔),物理,化学,7000,1_3_0248_5_GA
683,262,985,南京大学,人工智能,exact_school_major,1,0284,南京大学,13,人工智能,3,,,物理,化学,6380,1_3_0284_5_13
683,262,985,哈尔滨工业大学,工科试验班(港大优学班)(人工智能、自动化),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
683,262,985,哈尔滨工业大学,工科试验班(AI院士特色班)(人工智能),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
683,262,985,浙江大学,工科试验班(信息)(计算机科学与技术、信息安全、软件工程、工业设计、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、生物医学工程),unmatched_name_changed_or_not_in_2026_physics_plan,0,,,,,,,,,,,
682,282,985,中国人民大学,人工智能,exact_school_major,1,0002,中国人民大学,Q1,人工智能,2,,(中关村校区),物理,化学,5000,1_3_0002_5_Q1
682,282,985,北京大学医学部,药学(六年制本硕连读),exact_school_major,1,9001,北京大学医学部,07,药学(六年制本硕连读),1,,,物理,化学,6000,1_3_9001_5_07
682,282,985,南京大学,计算机科学与技术,exact_school_major,1,0284,南京大学,12,计算机科学与技术,2,,,物理,化学,6050,1_3_0284_5_12
