批次代码,批次名称,院校代号,院校国标代码,院校名称,院校省份,办学性质,专业代号,专业国标代码,专业名称,专业属性,计划数,首选科目代码,首选科目,再选科目代码,再选科目,学制,学费,专业备注,计划ID
3,普通类本科批,0001,10001,北京大学,北京,公办,13,1204,公共管理类(城市管理、行政管理),(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_13
3,普通类本科批,0001,10001,北京大学,北京,公办,42,082503,环境科学(环境、健康、生态、地理与资源环境),(高校专项计划),1,04,物理,A,化学,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_42
3,普通类本科批,0001,10001,北京大学,北京,公办,44,0711,心理学类(应用心理学),(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_44
3,普通类本科批,0001,10001,北京大学,北京,公办,48,0070,理科试验班类(理科基础类专业)(数学类),,30,04,物理,A,化学,四年,待定,,1_3_0001_5_48
3,普通类本科批,0001,10001,北京大学,北京,公办,49,0070,理科试验班类(经济)(数学类),(高校专项计划),1,04,物理,A,化学,四年,5000,"[报考高校专项计划的考生,其投档成绩应达到辽宁省特殊类型招生控制分数线上130分(含)](教育部高校专项计划,只投档符合报考条件的考生)",1_3_0001_5_49
3,普通类本科批,0002,10002,中国人民大学,北京,公办,C2,020103,国民经济管理,(高校专项计划),1,04,物理,K,无限制,四年,5000,"[报考考生高考成绩(含政策性加分)不得低于相应科类特殊类型招生控制分数线上70分(含)](教育部高校专项计划,只投档符合报考条件的考生)(通州校区)",1_3_0002_5_C2
3,普通类本科批,0002,10002,中国人民大学,北京,公办,F1,030101,法学,,2,04,物理,K,无限制,四年,5000,(通州校区),1_3_0002_5_F1
3,普通类本科批,0002,10002,中国人民大学,北京,公办,H3,00700,理科试验班(金融学与数学创新人才班)[金融工程(财政金融学院金融学与数学双学位项目)],,1,04,物理,A,化学,四年,5000,"[财政金融学院(金融学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)",1_3_0002_5_H3
3,普通类本科批,0002,10002,中国人民大学,北京,公办,H4,00700,理科试验班(金融与大数据技术创新人才班)[金融工程(财政金融学院金融学与大数据技术双学位项目)],,2,04,物理,A,化学,四年,5000,"[财政金融学院(金融学)与信息学院(数据科学与大数据技术)共同培养,毕业获经济学、工学双主学士学位](通州校区)",1_3_0002_5_H4
3,普通类本科批,0002,10002,中国人民大学,北京,公办,J3,00700,理科试验班(经济学与数学创新人才班)[数字经济(经济学院经济学与数学双学位项目)],,1,04,物理,A,化学,四年,5000,"[经济学院(经济学)与数学学院(数学与应用数学)共同培养,毕业获经济学、理学双主学士学位](通州校区)",1_3_0002_5_J3
3,普通类本科批,0002,10002,中国人民大学,北京,公办,N1,0712,统计学类(数智科学家计划)(经济统计学、应用统计学、统计学、数据科学),,2,04,物理,A,化学,四年,5000,(大类中专业任选)(通州校区),1_3_0002_5_N1
3,普通类本科批,0002,10002,中国人民大学,北京,公办,N3,0712,统计学类(国民经济与数科创新人才班)(数据科学),,2,04,物理,A,化学,四年,5000,"[统计学院(数据科学)与应用经济学院(国民经济管理)共同培养,毕业获理学、经济学双主学士学位](通州校区)",1_3_0002_5_N3
3,普通类本科批,0002,10002,中国人民大学,北京,公办,Q1,080717,人工智能,,2,04,物理,A,化学,四年,5000,(中关村校区),1_3_0002_5_Q1
3,普通类本科批,0002,10002,中国人民大学,北京,公办,Q2,0809,计算机类(AI全栈工程师计划)(计算机科学与技术、信息安全、数据科学与大数据技术、信息管理与信息系统、软件工程),,2,04,物理,A,化学,四年,5000,"(无时点专业选择：学院内专业任选,毕业时认定专业)(中关村校区)",1_3_0002_5_Q2
3,普通类本科批,0003,10003,清华大学,北京,公办,02,00600,工科试验班(智能制造与装备类)[机械工程(含实验班)、车辆工程],(高校专项计划),1,04,物理,A,化学,四年,5000,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0003_5_02
3,普通类本科批,0003,10003,清华大学,北京,公办,03,0807,电子信息类(电子信息科学与技术),(高校专项计划),1,04,物理,A,化学,四年,5000,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0003_5_03
3,普通类本科批,0003,10003,清华大学,北京,公办,06,00700,理科试验班(数理类)[数学与应用数学、物理学、数理基础科学、工程物理(含能源实验班)、统计学],(高校专项计划),1,04,物理,A,化学,四年,5000,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0003_5_06
3,普通类本科批,0003,10003,清华大学,北京,公办,19,00600,工科试验班(秀钟书院)[交叉工程(等专业)],(高校专项计划),1,04,物理,A,化学,四年,5000,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0003_5_19
3,普通类本科批,0003,10003,清华大学,北京,公办,1A,1002,临床医学类[临床医学(协和)、临床医学(卓越医师科学班)],,5,04,物理,A,化学,八年医,5000,,1_3_0003_5_1A
3,普通类本科批,0003,10003,清华大学,北京,公办,1B,00700,理科试验班(理科各专业)[交叉工程(等专业)],,42,04,物理,A,化学,四年,5000,,1_3_0003_5_1B
3,普通类本科批,0003,10003,清华大学,北京,公办,20,00600,工科试验班(笃实书院)[交叉工程(等专业)],(高校专项计划),1,04,物理,A,化学,四年,5000,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0003_5_20
3,普通类本科批,0004,10004,北京交通大学,北京,公办,01,0070,理科试验班类(詹天佑试点班信息类)(通信工程、计算机科学与技术、信息安全),,4,04,物理,A,化学,四年,5500,"(特殊培养方案,详见学校招生网站)",1_3_0004_5_01
3,普通类本科批,0004,10004,北京交通大学,北京,公办,02,0070,理科试验班类(詹天佑试点班智能类)(轨道交通信号与控制、交通运输、测控技术与仪器、电气工程及其自动化),,4,04,物理,A,化学,四年,5500,"(特殊培养方案,详见学校招生网站)",1_3_0004_5_02
3,普通类本科批,0004,10004,北京交通大学,北京,公办,05,080803,机器人工程(知行创新班产学研融合示范班),,2,04,物理,A,化学,四年,5500,"(特殊培养方案详见学校招生网站。一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_05
3,普通类本科批,0004,10004,北京交通大学,北京,公办,06,0808,自动化类(智能系统与智能制造)(轨道交通信号与控制、自动化、低空技术与工程、机器人工程、智能制造工程、智能车辆工程、测控技术与仪器、能源与动力工程),,13,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_06
3,普通类本科批,0004,10004,北京交通大学,北京,公办,07,0807,电子信息类[通信工程、信息工程、电子科学与技术、电气工程及其自动化、电气工程及其自动化(经济、电气双学位项目)、光电信息科学与工程],,13,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_07
3,普通类本科批,0004,10004,北京交通大学,北京,公办,08,0809,计算机类[计算机科学与技术、计算机科学与技术(铁路信息技术)、人工智能、物联网工程、数据科学与大数据技术(数据智能)、软件工程(国家级特色化示范性软件学院)、数据科学与大数据技术、信息安全、人工智能(智能系统与应用)],,7,04,物理,A,化学,四年,5500,"(软件工程三、四年级学费为1.6万元。一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_08
3,普通类本科批,0004,10004,北京交通大学,北京,公办,09,0818,交通运输类[交通运输(智慧铁道运输)、交通运输(城市轨道交通)、交通运输(民航运输)、交通运输(大数据与信息技术)、交通运输(卓越人才拔尖班)、交通工程、智能运输工程、物流工程],,9,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_09
3,普通类本科批,0004,10004,北京交通大学,北京,公办,10,00700,理科试验班[系统科学与工程(智能交通系统拔尖班)、信息与计算科学(数学拔尖班)、信息与计算科学、统计学、数据科学、应用物理学(黄昆英才班)、纳米材料与技术(智能材料)],,12,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)",1_3_0004_5_10
3,普通类本科批,0004,10004,北京交通大学,北京,公办,17,0810,土木类(智慧建造与智慧环境)[土木工程(数智城市与交通基础设施)、铁道工程(智能铁路与城市轨道交通)、智能建造、环境工程(智慧环境与低碳技术)],(高校专项计划),4,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0004_5_17
3,普通类本科批,0004,10004,北京交通大学,北京,公办,18,00201,经济管理试验班(经济学、金融科技、物流管理、信息管理与信息系统),(高校专项计划),8,04,物理,K,无限制,四年,5000,"(一二年级在北京校区培养,三年级起在雄安校区培养)(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0004_5_18
3,普通类本科批,0004,10004,北京交通大学,北京,公办,23,080204H,机械电子工程(中外合作办学),,5,04,物理,A,化学,四年,80000,"(合作方澳大利亚沃隆港大学,3+1模式,第4年在国外。大量全英文授课,要求较好的英语基础)",1_3_0004_5_23
3,普通类本科批,0004,10004,北京交通大学,北京,公办,24,080413H,纳米材料与技术(中外合作办学),,3,04,物理,A,化学,四年,80000,"(无色盲色弱且无单颜色识别不全。合作方加拿大滑铁卢大学,2+1+1模式,第3年在国外。大量全英文授课,要求较好的英语基础)",1_3_0004_5_24
3,普通类本科批,0004,10004,北京交通大学,北京,公办,25,081801H,交通运输(中外合作办学),,4,04,物理,A,化学,四年,80000,"(要求无色盲且无单颜色识别不全,合作方荷兰代尔夫特理工大学,4+0模式。大量全英文授课,要求较好的英语基础)",1_3_0004_5_25
3,普通类本科批,0004,10004,北京交通大学,北京,公办,AB,0818,交通运输类[交通运输(智慧铁道运输)、交通运输(城市轨道交通)、交通运输(民航运输)、交通运输(大数据与信息技术)、交通运输(卓越人才拔尖班)、交通工程、智能运输工程、物流工程],(高校专项计划),2,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0004_5_AB
3,普通类本科批,0004,10004,北京交通大学,北京,公办,AC,0810,土木类(智慧建造与智慧环境)(民族班)[土木工程(数智城市与交通基础设施)、铁道工程(智能铁路与城市轨道交通)、智能建造、环境工程(智慧环境与低碳技术)],(民族班),4,04,物理,A,化学,四年,5500,"(一二年级在北京校区培养,三年级起在雄安校区培养)(只招少数民族,投档成绩不得低于学校普通类提档线下40分 (不含中外合作办学))",1_3_0004_5_AC
3,普通类本科批,0004,10004,北京交通大学,北京,公办,AD,00201,经济管理试验班(民族班)(经济学、金融科技、物流管理、信息管理与信息系统),(民族班),2,04,物理,K,无限制,四年,5000,"(一二年级在北京校区培养,三年级起在雄安校区培养)(只招少数民族,投档成绩不得低于学校普通类提档线下40分 (不含中外合作办学))",1_3_0004_5_AD
3,普通类本科批,0005,10005,北京工业大学,北京,公办,12,081001,土木工程(茅以升班),,2,04,物理,A,化学,四年,5000,"(色盲限报。第一年在通州校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区,大一下学期可参加碳中和未来技术学院二次选拔,碳院简介详见招生网站)",1_3_0005_5_12
3,普通类本科批,0005,10005,北京工业大学,北京,公办,34,080503,新能源科学与工程(新能源和环科双学士学位),,2,04,物理,A,化学,四年,5000,"(色盲、色弱限报。第一年在平乐园校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区,“新能源科学与工程—环境科学”双学士学位复合型人才培养项目)",1_3_0005_5_34
3,普通类本科批,0005,10005,北京工业大学,北京,公办,35,080702,电子科学与技术(实验班),,2,04,物理,A,化学,四年,5000,"(第一年在通州校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_35
3,普通类本科批,0005,10005,北京工业大学,北京,公办,44,120203,会计学,,2,04,物理,K,无限制,四年,5000,"(第一年在通州校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_44
3,普通类本科批,0005,10005,北京工业大学,北京,公办,49,050201,英语,,3,04,物理,K,无限制,四年,5000,"(限招英语考生。第一年在通州校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_49
3,普通类本科批,0005,10005,北京工业大学,北京,公办,66,080905,物联网工程,,2,04,物理,A,化学,四年,5000,"(色盲限报。第一年在通州校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_66
3,普通类本科批,0005,10005,北京工业大学,北京,公办,70,080701H,电子信息工程(中外合作办学),,2,04,物理,A,化学,四年,95000,"(学费9.5万/学年,第一年在平乐园校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_70
3,普通类本科批,0005,10005,北京工业大学,北京,公办,73,020301H,金融学(中外合作办学),,5,04,物理,K,无限制,四年,95000,"(学费9.5万/学年,第一年在平乐园校区,第二、三、四学年根据学校规划安排在平乐园校区或房山校区)",1_3_0005_5_73
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,01,0060,工科试验班类(未来空天领军计划)(人工智能、网络空间安全、微电子科学与工程、智能飞行器技术、智能制造工程、空天智能电推进技术、飞行器设计与工程、飞行器动力工程、材料科学与工程、智慧交通、电子信息工程、自动化、测控技术与仪器、空间科学与技术),,2,04,物理,A,化学,四年,5500,,1_3_0006_5_01
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,02,0060,工科试验班类(量子科技先锋计划)(计算机科学与技术、软件工程、微电子科学与工程、测控技术与仪器、物理学),,3,04,物理,A,化学,四年,5500,,1_3_0006_5_02
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,04,070101,数学与应用数学(拔尖学生培养计划),,3,04,物理,A,化学,四年,5500,(含数学与应用数学-计算机科学与技术双学士学位项目),1_3_0006_5_04
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,05,080102,工程力学(拔尖学生培养计划),,3,04,物理,A,化学,四年,5500,(含信息与计算科学-工程力学双学士学位项目),1_3_0006_5_05
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,08,082004,飞行器动力工程(卓越人才培养试验班),,5,04,物理,A,化学,四年,5500,,1_3_0006_5_08
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,10,080704,微电子科学与工程(卓越人才培养试验班),,3,04,物理,A,化学,四年,5500,,1_3_0006_5_10
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,16,0060,"工科试验班类(航空航天类,含具身智能、智能制造工程、空天智能电推进技术、飞行器动力工程、能源与动力工程等专业)",,27,04,物理,A,化学,四年,5500,(具体包含专业详见学校本科招生网报考指南专栏),1_3_0006_5_16
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,17,0060,"工科试验班类(计算与智能科学类,含计算机科学与技术、人工智能、软件工程等专业)",,20,04,物理,A,化学,四年,5500,(具体包含专业详见学校本科招生网报考指南专栏),1_3_0006_5_17
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,18,0060,"工科试验班类(信息科学与技术类,含微电子科学与工程、自动化、机器人工程、测控技术与仪器等专业)",,29,04,物理,A,化学,四年,5500,(具体包含专业详见学校本科招生网报考指南专栏),1_3_0006_5_18
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,19,0070,理科试验班类(含数学与应用数学、信息与计算科学、应用物理学等专业),(高校专项计划),7,04,物理,A,化学,四年,5500,"(具体包含专业详见学校本科招生网报考指南专栏)(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0006_5_19
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,22,0070,"理科试验班类(中外合作办学,中法工程师试验班)(人工智能、数学与应用数学、应用物理学、信息与计算科学)",,8,04,物理,A,化学,四年,50000,"(中外合作办学,学院路校区,与法国中央理工集团联合培养)",1_3_0006_5_22
3,普通类本科批,0006,10006,北京航空航天大学,浙江,公办,23,0060,"工科试验班类(中外合作办学,中法航空试验班)(飞行器适航技术、测控技术与仪器、电子信息工程、交通运输)",,4,04,物理,A,化学,四年,50000,"(中外合作办学,与法国国立民航大学联合培养,本科阶段不可转入北京市各校区设立的学院学习)",1_3_0006_5_23
3,普通类本科批,0006,10006,北京航空航天大学,浙江,公办,24,0060,"工科试验班类(中外合作办学,中法未来科技试验班)(计算机科学与技术、微电子科学与工程、生物医学工程、材料科学与工程、航空航天工程)",,2,04,物理,A,化学,四年,50000,"(中外合作办学,与法国国立应用科学学院联合培养,本科阶段不可转入北京市各校区设立的学院学习)",1_3_0006_5_24
3,普通类本科批,0006,10006,北京航空航天大学,浙江,公办,25,0060,"工科试验班类(中外合作办学,中西智能试验班)(计算机科学与技术、智能制造工程、通信工程、机器人工程)",,2,04,物理,A,化学,四年,80000,"(中外合作办学,与西班牙瓦伦西亚理工大学联合培养,本科阶段不可转入北京市各校区设立的学院学习)",1_3_0006_5_25
3,普通类本科批,0006,10006,北京航空航天大学,北京,公办,26,082004,飞行器动力工程(国际合作专项),,4,04,物理,A,化学,四年,5500,"(中外合作办学,与俄罗斯莫斯科航空学院“2+2”联合培养,双学籍,双学位,本科阶段原则上不可转专业)",1_3_0006_5_26
3,普通类本科批,0007,10007,北京理工大学,北京,公办,01,00600,工科试验班(卓越班)(具身智能、人工智能、机器人工程、低空技术与工程、数据科学与大数据技术、计算机科学与技术、电子信息工程、光电信息科学与工程、智能感知工程、网络空间安全),,2,04,物理,A,化学,四年,5500,"[全校理工专业任选,全院士团队导师,校区任选(大四、研究生可选珠海),方向任选(可选本校超常规学制或港大联培)]",1_3_0007_5_01
3,普通类本科批,0007,10007,北京理工大学,北京,公办,02,00600,工科试验班(未来精工技术)(具身智能、人工智能、机器人工程、低空技术与工程、数据科学与大数据技术、计算机科学与技术、电子信息工程、光电信息科学与工程、智能感知工程、网络空间安全),,4,04,物理,A,化学,四年,5500,"[全校理工专业任选,全院士团队导师,校区任选(大四、研究生可选珠海),面向“智能无人+”方向]",1_3_0007_5_02
3,普通类本科批,0007,10007,北京理工大学,北京,公办,03,00600,工科试验班(徐特立英才班)(具身智能、人工智能、机器人工程、低空技术与工程、数据科学与大数据技术、计算机科学与技术、电子信息工程、光电信息科学与工程、智能感知工程、网络空间安全),,8,04,物理,A,化学,四年,5500,"(全校理工专业任选,含智能班、领军班、协和医班,小班化、精英化、国际化培养)",1_3_0007_5_03
3,普通类本科批,0007,10007,北京理工大学,北京,公办,05,00600,工科试验班(航空航天与机电类)(低空技术与工程、飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程),,11,04,物理,A,化学,四年,5500,,1_3_0007_5_05
3,普通类本科批,0007,10007,北京理工大学,北京,公办,07,00600,工科试验班(信息科学技术)(具身智能、自动化、电气工程及其自动化、机器人工程、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、信息对抗技术、网络空间安全、密码科学与技术),,25,04,物理,A,化学,四年,5500,,1_3_0007_5_07
3,普通类本科批,0007,10007,北京理工大学,北京,公办,08,00600,工科试验班(电子信息实验班)(电子信息工程、通信工程、光电信息科学与工程、测控技术与仪器、智能感知工程、电子科学与技术、微电子科学与工程),,28,04,物理,A,化学,四年,5500,,1_3_0007_5_08
3,普通类本科批,0007,10007,北京理工大学,北京,公办,09,00700,理科试验班(理学与材料菁英班)[碳中和科学与工程、数学与应用数学、量子信息科学、材料科学与工程、生物技术、材料成型及控制工程、高分子材料与工程、材料化学、新能源材料与器件、电子封装技术、化学、应用化学、化学工程与工艺、制药工程、能源化学工程、生物医学工程、智能医学工程、信息与计算科学、统计学、应用物理学、化学工程与工艺(管理双学位)、新能源材料与器件(管理双学位)、应用化学(机械双学位)、生物技术(AI双学位)、生物技术(中国农业大学生物专业联合培养)],(高校专项计划),3,04,物理,A,化学,四年,5500,"(特控线上录取)(教育部高校专项计划,只投档符合报考条件的考生)",1_3_0007_5_09
3,普通类本科批,0007,10007,北京理工大学,北京,公办,H1,120203H,会计学(中外合作办学),,2,04,物理,K,无限制,四年,78000,,1_3_0007_5_H1
3,普通类本科批,0007,10007,北京理工大学,广东,公办,H5,080705H,光电信息科学与工程(中外合作办学),,2,04,物理,A,化学,四年,57000,,1_3_0007_5_H5
3,普通类本科批,0008,10008,北京科技大学,北京,公办,01,080420,材料智能技术(高精尖班),,1,04,物理,A,化学,四年,5000,"(特殊班型,特殊培养政策详见学校本科招生网)",1_3_0008_5_01
3,普通类本科批,0008,10008,北京科技大学,北京,公办,02,00700,理科试验班(纳米科学与工程试验班)(纳米材料与技术),,1,04,物理,A,化学,四年,5000,"(特殊班型,特殊培养政策详见学校本科招生网)",1_3_0008_5_02
3,普通类本科批,0008,10008,北京科技大学,北京,公办,03,0060,工科试验班类(卓越工程人才)(材料科学与工程、机械工程、自动化、能源与动力工程、碳中和科学与工程、智能采矿工程、冶金工程、智能建造),,8,04,物理,A,化学,四年,5000,"(特殊班型,特殊培养政策详见学校本科招生网)",1_3_0008_5_03
3,普通类本科批,0008,10008,北京科技大学,北京,公办,04,00700,理科试验班(拔尖人才计划)(材料科学与工程、计算机科学与技术、人工智能、机器人工程、自动化),,3,04,物理,A,化学,四年,5000,"(特殊班型,特殊培养政策详见学校本科招生网)",1_3_0008_5_04
3,普通类本科批,0008,10008,北京科技大学,北京,公办,05,080413,纳米材料与技术(前沿材料与未来技术),,1,04,物理,A,化学,四年,5000,,1_3_0008_5_05
3,普通类本科批,0008,10008,北京科技大学,北京,公办,06,080420,材料智能技术(AI与新材料交叉融合),,1,04,物理,A,化学,四年,5000,,1_3_0008_5_06
3,普通类本科批,0008,10008,北京科技大学,北京,公办,07,080717,人工智能,,5,04,物理,A,化学,四年,5000,,1_3_0008_5_07
3,普通类本科批,0008,10008,北京科技大学,北京,公办,08,0701,数学类(应用数学和统计)(数学与应用数学、信息与计算科学、统计学),,3,04,物理,A,化学,四年,5000,,1_3_0008_5_08
3,普通类本科批,0008,10008,北京科技大学,北京,公办,09,070202,应用物理学(半导体和电子科技),,3,04,物理,A,化学,四年,5000,(大一学年结束后可分流至应用物理学、电子科学与技术专业),1_3_0008_5_09
3,普通类本科批,0008,10008,北京科技大学,北京,公办,14,080401,材料科学与工程,,12,04,物理,A,化学,四年,5000,"(百分百满足学生分流意愿。大一学年结束后可分流至材料科学与工程、材料物理、材料化学、无机非金属材料工程、材料成型及控制工程、高分子材料与工程专业。一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_14
3,普通类本科批,0008,10008,北京科技大学,北京,公办,15,0808,自动化类(自动化、测控技术与仪器、智能感知工程),,9,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_15
3,普通类本科批,0008,10008,北京科技大学,北京,公办,16,0809,计算机类(计算机科学与技术、信息安全、物联网工程),,9,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_16
3,普通类本科批,0008,10008,北京科技大学,北京,公办,17,080703,通信工程,,3,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_17
3,普通类本科批,0008,10008,北京科技大学,北京,公办,18,080710,集成电路设计与集成系统,,2,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_18
3,普通类本科批,0008,10008,北京科技大学,北京,公办,19,0802,机械类(机器人、智能制造与新能源车辆)(机械工程、智能制造工程、机器人工程、车辆工程、物流工程、工业设计),,17,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_19
3,普通类本科批,0008,10008,北京科技大学,北京,公办,20,080504,储能科学与工程,,3,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_20
3,普通类本科批,0008,10008,北京科技大学,北京,公办,21,0805,能源动力类(能源与动力工程、新能源科学与工程、环境工程、环境科学),,8,04,物理,A,化学,四年,5000,"(一、二年级在北京校区,三、四年级在雄安校区)",1_3_0008_5_21
3,普通类本科批,0008,10008,北京科技大学,北京,公办,26,120108,大数据管理与应用(大数据与金融试验班),,2,04,物理,K,无限制,四年,5000,"(大一学年结束后可分流至大数据管理与应用、信息管理与信息系统、金融工程专业,其中大数据管理与应用专业整体分流接收比例50%)",1_3_0008_5_26
3,普通类本科批,0010,10010,北京化工大学,北京,公办,03,083001,生物工程(国家卓越工程师学院),,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_03
3,普通类本科批,0010,10010,北京化工大学,北京,公办,04,081302,制药工程(国家卓越工程师学院),,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_04
3,普通类本科批,0010,10010,北京化工大学,北京,公办,07,00600,工科试验班(宏德书院)[化学工程与工艺(英才班)、高分子材料与工程(精英班)、生物工程(高精尖班)],,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_07
3,普通类本科批,0010,10010,北京化工大学,北京,公办,08,00600,工科试验班(未来生物科技)[生物制造(领军班)、生物制造(菁英班)],,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_08
3,普通类本科批,0010,10010,北京化工大学,北京,公办,09,00700,理科试验班(化学基础拔尖)[化学(基地班)、化学(优培班)],,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_09
3,普通类本科批,0010,10010,北京化工大学,北京,公办,10,081301,化学工程与工艺(化工、大数据双学士学位),,5,04,物理,A,化学,四年,5000,"(不招色盲色弱、单色识别异常考生,“化学工程与工艺-大数据管理与应用”双学士学位复合型人才培养项目)",1_3_0010_5_10
3,普通类本科批,0010,10010,北京化工大学,北京,公办,13,080401,材料科学与工程(材料、大数据双学士学位),,3,04,物理,A,化学,四年,5000,"(不招色盲色弱、单色识别异常考生,“材料科学与工程-大数据管理与应用”双学士学位复合型人才培养项目)",1_3_0010_5_13
3,普通类本科批,0010,10010,北京化工大学,北京,公办,14,070301,化学(化学、生工双学士学位),,3,04,物理,A,化学,四年,5000,"(不招色盲色弱、单色识别异常考生,“化学-生物工程”双学士学位复合型人才培养项目)",1_3_0010_5_14
3,普通类本科批,0010,10010,北京化工大学,北京,公办,15,083001,生物工程(生工、大数据双学士学位),,4,04,物理,A,化学,四年,5000,"(不招色盲色弱、单色识别异常考生,“生物工程-大数据管理与应用”双学士学位复合型人才培养项目)",1_3_0010_5_15
3,普通类本科批,0010,10010,北京化工大学,北京,公办,16,00600,工科试验班(化工与能源)(化学工程与工艺、能源化学工程、氢能科学与工程),,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_16
3,普通类本科批,0010,10010,北京化工大学,北京,公办,17,00600,工科试验班(先进材料)(高分子材料与工程、材料科学与工程、功能材料),,12,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_17
3,普通类本科批,0010,10010,北京化工大学,北京,公办,18,080414,新能源材料与器件,,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_18
3,普通类本科批,0010,10010,北京化工大学,北京,公办,19,00700,理科试验班(绿色化学)(应用化学、能源化学、资源化学),,2,04,物理,A,化学,四年,5000,(不招色盲色弱、单色识别异常考生),1_3_0010_5_19
